Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments
A1,WT_SHAM,Dlp,UNKNOWN,SYBR,None,,,,16.60624123,16.75389862,0.200608537,,,,,,,TRUE,0.562260613,TRUE,3,10,1,81.7164917,,,
A2,KO_SHAM,Dlp,UNKNOWN,SYBR,None,,,,17.58939552,17.68609047,0.32160452,,,,,,,TRUE,0.562260613,TRUE,3,10,1,81.86541748,,,
A3,KO_A,Dlp,UNKNOWN,SYBR,None,,,,18.02060318,17.94942665,0.192083329,,,,,,,TRUE,0.562260613,TRUE,3,12,1,81.7164917,,,
A4,KO_B,Dlp,UNKNOWN,SYBR,None,,,,15.67334938,15.67446136,0.041857813,,,,,,,TRUE,0.562260613,TRUE,3,9,1,81.86541748,,,
A5,KO_C,Dlp,UNKNOWN,SYBR,None,,,,15.01212883,14.96910191,0.074614309,,,,,,,TRUE,0.562260613,TRUE,3,9,1,81.86541748,,,
A6,KO_D,Dlp,UNKNOWN,SYBR,None,,,,14.99569893,14.92057037,0.066727802,,,,,,,TRUE,0.562260613,TRUE,3,8,1,81.86541748,,,
A7,H2O,Dlp,UNKNOWN,SYBR,None,,,,34.51009369,34.51009369,,,,,,,,TRUE,0.562260613,TRUE,3,28,1,81.56756592,,,
B1,WT_SHAM,Dlp,UNKNOWN,SYBR,None,,,,16.67316055,16.75389862,0.200608537,,,,,,,TRUE,0.562260613,TRUE,3,10,1,81.7164917,,,
B2,KO_SHAM,Dlp,UNKNOWN,SYBR,None,,,,17.42392921,17.68609047,0.32160452,,,,,,,TRUE,0.562260613,TRUE,3,11,1,81.86541748,,,
B3,KO_A,Dlp,UNKNOWN,SYBR,None,,,,18.09576035,17.94942665,0.192083329,,,,,,,TRUE,0.562260613,TRUE,3,12,1,81.86541748,,,
B4,KO_B,Dlp,UNKNOWN,SYBR,None,,,,15.63316917,15.67446136,0.041857813,,,,,,,TRUE,0.562260613,TRUE,3,9,1,82.01435089,,,
B5,KO_C,Dlp,UNKNOWN,SYBR,None,,,,14.88294506,14.96910191,0.074614309,,,,,,,TRUE,0.562260613,TRUE,3,8,1,81.86541748,,,
B6,KO_D,Dlp,UNKNOWN,SYBR,None,,,,14.8978157,14.92057037,0.066727802,,,,,,,TRUE,0.562260613,TRUE,3,8,1,81.86541748,,,
C1,WT_SHAM,Dlp,UNKNOWN,SYBR,None,,,,16.9822979,16.75389862,0.200608537,,,,,,,TRUE,0.562260613,TRUE,3,10,1,81.7164917,,,
C2,KO_SHAM,Dlp,UNKNOWN,SYBR,None,,,,18.04495049,17.68609047,0.32160452,,,,,,,TRUE,0.562260613,TRUE,3,12,1,82.01435089,,,
C3,KO_A,Dlp,UNKNOWN,SYBR,None,,,,17.73191261,17.94942665,0.192083329,,,,,,,TRUE,0.562260613,TRUE,3,11,1,81.7164917,,,
C4,KO_B,Dlp,UNKNOWN,SYBR,None,,,,15.71686268,15.67446136,0.041857813,,,,,,,TRUE,0.562260613,TRUE,3,10,1,82.01435089,,,
C5,KO_C,Dlp,UNKNOWN,SYBR,None,,,,15.01223278,14.96910191,0.074614309,,,,,,,TRUE,0.562260613,TRUE,3,8,1,81.86541748,,,
C6,KO_D,Dlp,UNKNOWN,SYBR,None,,,,14.86819553,14.92057037,0.066727802,,,,,,,TRUE,0.562260613,TRUE,3,8,1,81.86541748,,,
