Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments
A1,WT_SHAM,Alb,UNKNOWN,SYBR,None,,,,30.07575989,30.08716774,0.020774154,,,,,,,TRUE,0.338057663,TRUE,3,23,1,92.88602448,,,
A2,KO_SHAM,Alb,UNKNOWN,SYBR,None,,,,30.24267387,30.36397362,0.151744857,,,,,,,TRUE,0.338057663,TRUE,3,25,1,92.88602448,,,
A3,KO_A,Alb,UNKNOWN,SYBR,None,,,,30.86710548,30.9528656,0.154512703,,,,,,,TRUE,0.338057663,TRUE,3,25,1,92.88602448,,,
A4,KO_B,Alb,UNKNOWN,SYBR,None,,,,29.76465416,29.85279846,0.076953158,,,,,,,TRUE,0.338057663,TRUE,3,24,1,92.73709106,,,
A5,KO_C,Alb,UNKNOWN,SYBR,None,,,,30.22593498,29.7884903,0.381991804,,,,,,,TRUE,0.338057663,TRUE,3,24,1,92.73709106,,,
A6,KO_D,Alb,UNKNOWN,SYBR,None,,,,29.26423073,29.3399868,0.066685677,,,,,,,TRUE,0.338057663,TRUE,3,24,1,92.73709106,,,
A7,H2O,Alb,UNKNOWN,SYBR,None,,,,41.01044083,41.01044083,,,,,,,,TRUE,0.338057663,TRUE,3,35,1,91.99246216,,,
B1,WT_SHAM,Alb,UNKNOWN,SYBR,None,,,,30.11114693,30.08716774,0.020774154,,,,,,,TRUE,0.338057663,TRUE,3,23,1,92.88602448,,,
B2,KO_SHAM,Alb,UNKNOWN,SYBR,None,,,,30.31511879,30.36397362,0.151744857,,,,,,,TRUE,0.338057663,TRUE,3,25,1,92.88602448,,,
B3,KO_A,Alb,UNKNOWN,SYBR,None,,,,30.8602562,30.9528656,0.154512703,,,,,,,TRUE,0.338057663,TRUE,3,24,1,92.88602448,,,
B4,KO_B,Alb,UNKNOWN,SYBR,None,,,,29.88713264,29.85279846,0.076953158,,,,,,,TRUE,0.338057663,TRUE,3,24,1,92.73709106,,,
B5,KO_C,Alb,UNKNOWN,SYBR,None,,,,29.52078819,29.7884903,0.381991804,,,,,,,TRUE,0.338057663,TRUE,3,24,1,92.73709106,,,
B6,KO_D,Alb,UNKNOWN,SYBR,None,,,,29.38981438,29.3399868,0.066685677,,,,,,,TRUE,0.338057663,TRUE,3,24,1,92.73709106,,,
C1,WT_SHAM,Alb,UNKNOWN,SYBR,None,,,,30.07459831,30.08716774,0.020774154,,,,,,,TRUE,0.338057663,TRUE,3,24,1,92.88602448,,,
C2,KO_SHAM,Alb,UNKNOWN,SYBR,None,,,,30.53412819,30.36397362,0.151744857,,,,,,,TRUE,0.338057663,TRUE,3,25,1,92.88602448,,,
C3,KO_A,Alb,UNKNOWN,SYBR,None,,,,31.13123894,30.9528656,0.154512703,,,,,,,TRUE,0.338057663,TRUE,3,25,1,92.88602448,,,
C4,KO_B,Alb,UNKNOWN,SYBR,None,,,,29.90660667,29.85279846,0.076953158,,,,,,,TRUE,0.338057663,TRUE,3,24,1,92.88602448,,,
C5,KO_C,Alb,UNKNOWN,SYBR,None,,,,29.6187458,29.7884903,0.381991804,,,,,,,TRUE,0.338057663,TRUE,3,24,1,92.73709106,,,
C6,KO_D,Alb,UNKNOWN,SYBR,None,,,,29.36591339,29.3399868,0.066685677,,,,,,,TRUE,0.338057663,TRUE,3,24,1,92.73709106,,,
