Well,Sample Name,Target Name,Task,Reporter,Quencher,RQ,RQ Min,RQ Max,Cт,Cт Mean,Cт SD,ΔCт,ΔCт Mean,ΔCт SE,HK Control ΔCт Mean,HK Control ΔCт SE,ΔΔCт,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Efficiency,Tm1,Tm2,Tm3,Comments,NOAMP,EXPFAIL,MTP
A1,WT_SHAM,Dlp,UNKNOWN,SYBR,None,,,,16.64827347,16.5395031,0.113652796,,,,,,,TRUE,0.588822357,TRUE,3,10,1,82.00222778,,,,N,N,N
A2,KO_SHAM,Dlp,UNKNOWN,SYBR,None,,,,17.1422348,17.28755569,0.134587571,,,,,,,TRUE,0.588822357,TRUE,3,12,1,82.00222778,,,,N,N,N
A3,KO_A,Dlp,UNKNOWN,SYBR,None,,,,17.27327538,17.27588463,0.01667599,,,,,,,TRUE,0.588822357,TRUE,3,10,1,82.15115356,,,,N,N,N
A4,KO_B,Dlp,UNKNOWN,SYBR,None,,,,15.17979336,15.3680582,0.190583527,,,,,,,TRUE,0.588822357,TRUE,3,9,1,82.00222778,,,,N,N,N
A5,KO_C,Dlp,UNKNOWN,SYBR,None,,,,14.84017086,14.76605606,0.298201323,,,,,,,TRUE,0.588822357,TRUE,3,8,1,82.00222778,,,,N,N,N
A6,KO_D,Dlp,UNKNOWN,SYBR,None,,,,14.73476028,14.72211838,0.224811271,,,,,,,TRUE,0.588822357,TRUE,3,8,1,82.00222778,,,,N,N,N
A7,H2O,Dlp,UNKNOWN,SYBR,None,,,,Undetermined,,,,,,,,,TRUE,0.588822357,TRUE,3,44,1,65.91908264,,,,Y,Y,N
B1,WT_SHAM,Dlp,UNKNOWN,SYBR,None,,,,16.54870987,16.5395031,0.113652796,,,,,,,TRUE,0.588822357,TRUE,3,9,1,82.00222778,,,,N,N,N
B2,KO_SHAM,Dlp,UNKNOWN,SYBR,None,,,,17.31251717,17.28755569,0.134587571,,,,,,,TRUE,0.588822357,TRUE,3,12,1,82.00222778,,,,N,N,N
B3,KO_A,Dlp,UNKNOWN,SYBR,None,,,,17.2937088,17.27588463,0.01667599,,,,,,,TRUE,0.588822357,TRUE,3,12,1,82.15115356,,,,N,N,N
B4,KO_B,Dlp,UNKNOWN,SYBR,None,,,,15.56087875,15.3680582,0.190583527,,,,,,,TRUE,0.588822357,TRUE,3,8,1,82.00222778,,,,N,N,N
B5,KO_C,Dlp,UNKNOWN,SYBR,None,,,,14.4377861,14.76605606,0.298201323,,,,,,,TRUE,0.588822357,TRUE,3,8,1,82.00222778,,,,N,N,N
B6,KO_D,Dlp,UNKNOWN,SYBR,None,,,,14.94034195,14.72211838,0.224811271,,,,,,,TRUE,0.588822357,TRUE,3,9,1,81.85331726,,,,N,N,N
C1,WT_SHAM,Dlp,UNKNOWN,SYBR,None,,,,16.42152786,16.5395031,0.113652796,,,,,,,TRUE,0.588822357,TRUE,3,9,1,82.00222778,,,,N,N,N
C2,KO_SHAM,Dlp,UNKNOWN,SYBR,None,,,,17.40791512,17.28755569,0.134587571,,,,,,,TRUE,0.588822357,TRUE,3,11,1,82.00222778,,,,N,N,N
C3,KO_A,Dlp,UNKNOWN,SYBR,None,,,,17.26066399,17.27588463,0.01667599,,,,,,,TRUE,0.588822357,TRUE,3,10,1,82.00222778,,,,N,N,N
C4,KO_B,Dlp,UNKNOWN,SYBR,None,,,,15.36350346,15.3680582,0.190583527,,,,,,,TRUE,0.588822357,TRUE,3,9,1,82.00222778,,,,N,N,N
C5,KO_C,Dlp,UNKNOWN,SYBR,None,,,,15.02020931,14.76605606,0.298201323,,,,,,,TRUE,0.588822357,TRUE,3,8,1,82.00222778,,,,N,N,N
C6,KO_D,Dlp,UNKNOWN,SYBR,None,,,,14.4912529,14.72211838,0.224811271,,,,,,,TRUE,0.588822357,TRUE,3,8,1,82.00222778,,,,N,N,N
